gemini_intent,tweet_id,text,reference_reply_clean,gemini_reason,gold_intent,gold_escalate
playlist,189315,Is there any way to view the songs on last week's Discover Weekly playlist please???,"Hey there! Unfortunately, we're unable to recover your previous Discover Weekly. We'd suggest saving your favorites moving forward /LP",User is asking how to view a past playlist.,playlist,no
app_ui_feature,2552696,"Thx. But now i have another problem. I don't see 'behind the lyrics' anymore. I reinstalled spotify and logged in again, didn't work tho. I tested songs, that I'm 100% sure they have 'behind the lyrics'.",Hmm. Can you try to see if you can use the Behind the Lyrics feature when you stream this playlist: /DV,Feature 'behind the lyrics' is missing after reinstalling.,app_ui_feature,no
other,903751,Nice! Thank you MT! Is that short for Matthew?,"2: anything else we can help with, just say the word. Otherwise, have a... /MT","Casual conversation and thanks, no support issue.",other,no
billing_subscription,118893,"My account spotify is premium, why my account spotify have a advertaising? why? Please respon",Got it. Can you DM us your account's email address? We'll take a look under the hood /AN,User reports ads despite having a premium subscription.,billing_subscription,yes
billing_subscription,393184,my Spotify premium isn't working help,"Hi, we've just replied to your DM. We'll carry on chatting there /SY",Premium status not working involves subscription status/billing.,billing_subscription,yes
billing_subscription,2029251,why can't I activate the student discount?,Hey Shawnie! Could you send us a DM with your account's email address? We'll take a look backstage /FR,Student discount activation issue relates to billing/subscriptions.,billing_subscription,yes
billing_subscription,1272289,I’m having trouble with my family plan I’ve tried to add my girlfriend but it keeps asking her to re-enter our address.,Hey there! Could you DM us the usernames or email addresses on your and your girlfriend's accounts? We'll take a look under the hood /LP,Family plan address verification issue requires subscription support.,billing_subscription,yes
app_ui_feature,2484427,Definitely think Spotify should have an option to view all time history of listening. I’m talking years. 🤔,"Hey, we can see how that’d be useful! We’d recommend suggesting it in our Community where you can get support from other fans: /JM",User is requesting a new feature for listening history.,app_ui_feature,no
device_platform,1422430,Hi! Continual beeping happens when I go into Windows Desktop App so can't listen to music.When I try&amp;uninstall it won't let me,Hi Vicki! Help's here. Can you try restarting your computer to see if it makes a difference? /MU,"App freezing, beeping, and uninstall issues on Windows desktop.",device_platform,no
device_platform,1723515,"onePlus One , 8.4.26.770 armV7, Cyanogen OS bacon, android version 6.0.1.","Thanks for the info. Just to check, is this happening via WiFi, 3G/4G, or both? Does restarting your connection help at all? /NY",User providing technical device and OS specifications.,device_platform,no
account_login,2175424,I woke up and now my Spotify is signed out and I can't sign in. Keep getting 'error 404'. Please help. Very frustrating,"Hey, help's here! Can you fire over your account's email address or username via DM? We'll take a look under the hood /AY",Unexpected sign-out and login errors preventing account access.,account_login,no
song_unavailable,1376883,THIZ Scarface iz NOT THAT SCARFACE...,Thanks for the heads-up. It'd be great if you could send over the Artist Links. Just tap the three dots &gt; Share &gt; Copy Link /AY,User reporting incorrect artist or wrong content match.,song_unavailable,no
other,1727298,"Since it doesn’t happen every time I use the app, I’ll try it out during the day and get back to you guys with an update tomorrow!",Sounds like a plan. We'll keep an eye out for your update /JS,User promising a future update on an ongoing check.,other,no
account_login,1934824,..suggested by your help page I can’t select any other countries on the country list drop down. Help please?!,Hey there! We've come to the rescue. Could you DM us your account's email address/username? We'll see what we can suggest /RE,Country selection issues during account settings update.,account_login,no
other,374855,Thanks for your reply!,You're welcome! Let us know if you need anything else 🙂 /RK,Polite expression of gratitude.,other,no
billing_subscription,2883734,". I keep getting this message when attempting to register to Premium via Android 5, mobile carrier location is Philippines",Hi! We've sent a DM your way. We'll carry on helping out there /AY,Error message when attempting to register for Premium.,billing_subscription,yes
billing_subscription,2023650,Hey! I've linked my unidays to the wrong Spotify account! Would you be able to fix this?,Hey! Can you let us know the email addresses registered on both of your accounts via DM? We'll take a look backstage /RC,Unidays student verification linked to the wrong account.,billing_subscription,yes
device_platform,1091680,All sorted. iOS update didn’t show any saved albums etc only saved playlists. Required a restart to solve issue. Many thanks for the offer.,"Glad to hear everything's sorted out! If you need anything else, you know where to find us 🙂 /DB",iOS update display bug resolved by a device restart.,device_platform,no
billing_subscription,37708,"hi i think im being charged twice, can you help??",Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /MA,User suspects they are being charged twice.,billing_subscription,yes
app_ui_feature,2848293,. am I dumb or do you have a feature where you can see your recently played songs? I know there’s a feature for albums? But SONGS?,"Hi Isabella, this sounds like a great idea! Suggest it in our Community at and get support from other users /GT",User asking how to locate recently played songs in app.,app_ui_feature,no
song_unavailable,2284419,how about making Spotify available in the Middle East? Ya know some people here like to listen to music,"Hi there! No worries, we're launching in new countries as often as possible. Be sure to add your email at /GT",Request for regional availability of the service and content.,song_unavailable,no
other,573193,"It's up and running now--thanks for the help! It might be useful to make it easier to find that, as from the Google searches I did make it seem like I'm one of many who have had issues with it. But again, thanks for helping me fix it!","You're welcome! We totally understand what you mean. Rest assured your feedback has been passed on to the right team. If you ever need help with anything else, you know where to find us /QI",User expressing thanks after issue was resolved.,other,no
song_unavailable,2774559,Been hearing that since 2014. It would be nice if you could actually do it,Got you. We'll make sure to pass your feedback on to the right folks. Let us know if you have any other questions /BD,User complaining about regional availability or missing features.,song_unavailable,no
billing_subscription,189878,military discounts 👀👀?,"Hey, this sounds like a good idea! You can help make it happen by showing your support in our Community here: /RI",User inquiring about pricing and subscription discounts.,billing_subscription,no
